T,TM,Tm,H,PP,VV,V,VM,PM 2.5
4.9,7.6,3,81,0.25,10.5,11.9,18.3,61
4.2,6,2,86,0,10.3,10.4,14.8,51
6.4,8,5,92,0,5.8,11.7,24.1,86
7.1,9,4,82,0.76,9.2,19.4,25.9,74
3.8,6.3,1,81,0,10.3,19.6,29.4,50
9.7,11.4,7.8,86,1.52,9,27.8,42.4,63
7.8,10.1,5,74,0.25,10.5,17.2,31.7,42
6.8,8.2,5,73,0,10.5,10.9,18.3,50
0.1,2.1,-2,88,0,5.5,17.2,22.2,83
1.4,2.3,-2,94,0.25,4.5,14.1,20.6,73
-1.3,3.1,-4,82,0,6.1,9.1,16.5,86
3.1,7,0.9,96,0.51,2.4,10.6,18.3,119
8,9,4.7,90,1.27,8.7,22.2,38.9,96
6.1,8.3,2.7,82,1.52,9.3,30.4,42.4,46
0.6,4.1,-2,92,0,6,17.8,37,54
5.1,7.4,1.4,93,0.76,7.9,13.1,20.6,63
3.2,6,1.6,88,17.53,8.4,23.5,33.5,66
2.8,6,-0.1,77,0,10.1,17.2,29.4,73
8.8,11.3,6.8,75,5.33,9.7,24.4,33.5,70
8.4,10,6.4,83,0.76,10.6,31.5,51.9,53
9.3,12,7,71,3.56,9.8,29.3,37,41
2.6,9,-2,84,0,2.6,9.1,13,95
8.1,12.2,4.6,78,0.25,9.7,8.7,14.8,93
6.9,13.5,0.8,81,0,6.6,7,16.5,66
8.9,16,3,78,0,5.3,6.9,13,112
9.7,11,8,86,9.14,9.5,17.6,31.7,89
9.9,12.6,7,78,1.52,9.3,18.3,25.9,59
12.2,15,9.9,73,0.51,10.8,35,61.1,55
9,12.6,7,73,10.67,9.5,31.3,44.6,54
8.9,13,4.7,66,0.51,10.8,23.7,38.9,33
11.3,15,8,76,0.51,9.7,25.4,38.9,34
6.9,11.2,4.5,72,3.56,11.6,30.7,42.4,51
8.7,11.1,6,87,0.51,9,29.6,44.6,42
12.1,14,10,80,9.65,8.5,32,40.7,37
7.8,14,2,67,0,10.6,5.9,11.1,49
8.9,13.6,3.6,71,0,10,5.9,13,68
10.4,16.1,4.7,69,0,8,13,16.5,89
7.3,12,2,60,0,10.5,20.4,35.2,105
8.2,13,4,60,0,10.9,13.9,24.1,57
8.4,13.4,3,65,0,9.7,13.3,20.6,53
13.3,20.6,6.4,49,0,10.1,17.6,31.7,88
13.6,20.8,6.8,54,0,6.9,17,20.6,99
12,18.7,7,63,1.27,9.5,21.5,44.6,98
6.7,10.1,4,65,4.32,11.1,15.7,29.4,70
11.9,17,6.7,64,0,9.8,5.4,9.4,44
10.9,14.5,9,83,2.54,7.6,9.4,25.9,70
4.7,9.7,-0.4,51,0,10.6,16.5,25.9,92
4.5,10,-1.2,59,0,8.2,15.2,24.1,75
9.5,16.4,0.7,52,0,8.5,20,31.7,83
17.8,24.3,10,47,0,12.7,13.7,27.8,61
11.7,15.5,8.9,73,2.29,10.5,21.5,33.5,60
11.9,16.8,5.8,65,0.25,10.8,17.6,31.7,42
10.1,15.2,5.6,66,1.52,10.6,28.7,40.7,50
11.6,19,6.4,74,0,5.3,10,14.8,98
11.2,15.6,8.5,78,0,6.9,13.5,22.2,108
10.8,16,7,76,3.56,9.7,9.3,18.3,87
11.7,15,9,77,4.32,9.8,19.3,38.9,61
11.7,15,9,77,18.54,10.1,20.2,31.7,45
11.5,17.3,5,52,0,13.7,21.1,31.7,56
17.6,23.1,12.9,60,0,14,11.3,18.3,68
16.2,21.6,11.6,68,0,10.8,9.6,16.5,63
14.4,20,8,62,4.32,9.7,10.6,18.3,44
17.2,20.6,14,72,0,10.1,12.6,18.3,59
19.1,24,13,61,0,11.3,8,13,3
22.1,28,14,58,0,14,11.3,18.3,58
18.5,29.6,15,69,0,10.8,9.3,14.8,58
14.5,18.7,13,69,0.25,10.9,33,61.1,40
15.1,20.5,11.9,64,2.54,10.6,28.9,40.7,34
15.2,19,10.7,71,0.51,11.1,9.4,22.2,40
15.1,20.1,10.6,72,5.33,10,20.4,35.2,39
18.4,24,13,64,1.78,10.3,9.6,16.5,39
18.2,21.9,14.7,60,8.38,8.7,18.1,25.9,56
21.7,27.1,16.9,64,0,11.3,15.6,38.9,61
17.6,21,13,68,9.65,8.9,12.4,22.2,59
16.8,22,11.7,59,1.02,13.4,8.9,20.6,50
25.3,31.7,18.9,71,0,8.7,21.3,27.8,69
24.3,30.7,18.7,65,0,9.8,23,29.4,84
19.1,25.4,13,63,0.25,10.9,13.1,22.2,59
18.4,24.5,11,58,0.51,10.9,14.1,22.2,44
19.2,24.6,13,53,0,10.5,21.1,27.8,70
19.6,29.7,15,64,0,10.8,14.8,25.9,62
