T,TM,Tm,H,PP,VV,V,VM,PM 2.5
16.1,21,12.7,71,0.25,10.1,12.4,24.1,0
16.3,18.7,14,83,0.76,9.2,22,38.9,0
14.8,18.4,11,76,28.7,10.3,18.5,29.4,0
14.8,18,11.9,86,6.86,8,27.2,44.6,0
13.3,17.3,11,76,28.7,9.8,24.3,40.7,0
12.1,17.7,8.9,79,0.25,11.1,11.5,27.8,0
12.7,18,9.6,77,6.6,9.8,9.8,18.3,0
13.1,18.3,7.5,74,0.25,11.4,7.2,11.1,0
16.9,20.2,14.8,72,0,10.9,10.7,16.5,0
17.5,22.4,14.8,76,0.25,8,5.9,9.4,0
15.6,20,11.9,85,0,7.1,9.6,18.3,0
12.6,18,8,81,9.14,11.7,6.1,11.1,0
15.6,21.1,10.7,79,0.51,11.6,6.9,16.5,0
15.4,18.4,12,80,0.51,11.7,9.6,18.3,0
8.4,15.4,1.3,72,0,15.9,5.6,13,0
11.1,16,3.6,77,0,10.9,7.6,18.3,0
12.3,18.4,8,74,0,11.6,7.2,20.6,0
13.2,23.6,5.7,72,0,9.2,9.4,16.5,0
15.1,23.5,8,72,0,6,10.7,22.2,0
15,21.4,7.8,68,0,10.8,11.1,24.1,72
14.9,23.3,5,76,0,12.7,13.3,35.2,47
11.4,17.4,7,80,0,11.3,19.4,31.7,91
3.8,11.1,-0.5,78,0,11.4,6.1,14.8,57
6.3,17,-1.8,74,0,8,10.4,18.3,84
9.4,19,3.4,76,0,10.9,10.2,18.3,87
4,5.3,3,84,0,10.3,10.2,22.2,62
4.6,7,3,82,0,9.8,5.4,13,85
4.2,6,2.9,84,0,10.3,12.4,24.1,114
3.9,6,0.9,83,8.38,11.6,31.7,42.4,42
3.6,7,0,81,0.51,11.4,19.1,37,43
0.6,4,-4,86,0,8,7.2,16.5,71
3.4,9,-2,84,0,10,6.1,16.5,81
2.7,7.1,-2,85,0,9.7,8,14.8,56
7.1,11.4,1,81,0.51,8.9,10,27.8,57
2.4,5.6,0,81,20.57,12.1,12.4,20.6,51
1.3,8,-3,77,0,15,6.3,14.8,45
-0.7,0.7,-1.4,91,5.08,5.6,7.6,24.1,53
-1.1,0.1,-2.5,84,3.3,10.3,17.6,25.9,60
-2.6,-0.2,-5,84,0,8.9,16.3,27.8,117
2.8,10.5,-3.5,83,0,8.4,13,18.3,96
4.4,7.2,0,84,8.64,9,7.2,27.8,62
-0.4,2.7,-5,81,2.29,10.5,10.2,16.5,47
0.8,7,-5.3,83,1.78,9.3,6.9,35.2,52
8.3,10.3,2.6,71,1.52,12.1,19.4,35.2,54
4.7,10.3,1.7,79,0,12.2,11.1,35.2,37
1.9,3.4,0.6,89,3.3,9.2,7,16.5,55
3,4,1.8,88,0,9.7,10,20.6,78
3.5,5.4,2,87,0.51,8.7,6.9,14.8,84
2.9,8,-2.5,89,0,4.3,9.1,18.3,44
6.1,9.2,2,86,0,10.9,10.2,20.6,36
5.2,8,1.8,78,3.56,11.3,13.7,29.4,45
