T,TM,Tm,H,PP,VV,V,VM,PM 2.5
7.7,10.8,6,81,0.51,10,31.3,46.5,45.0
7.9,12.1,5.7,88,13.46,9.5,22.8,38.9,30.0
9.9,14,5.7,75,5.84,10.1,40,57.6,47.0
5.9,6.8,5,89,1.52,7.6,26.1,35.2,77.0
5.7,8,4,88,0.76,9.8,18.9,25.9,78.0
5.6,8.1,2.9,94,0,6.4,13.1,27.8,73.0
4.1,6,2,87,0,6.6,14.6,22.2,96.0
3.5,8.6,0,87,0,6.9,8.1,14.8,100.0
6.7,10,3.2,90,0,8.2,29.1,51.9,105.0
4.8,8.5,3.6,85,4.32,10.8,18.3,29.4,44.0
6.6,10.4,3.7,92,2.03,8.7,23.5,38.9,45.0
6.3,11,5,93,10.41,7.4,15.4,27.8,46.0
8.8,12.2,7,92,5.08,9,15.7,22.2,31.0
6.8,10.1,4,88,3.3,10.1,9.4,18.3,46.0
4.4,7.2,2.7,95,0,5.5,13.3,25.9,60.0
8.1,9.9,4,89,2.54,8.5,27.4,37,41.0
4.2,8.1,2,80,11.94,10.6,18.7,24.1,37.0
4.1,6.8,1.6,87,0.25,10.3,16.1,27.8,47.0
3.5,5,1.5,92,0.76,8.7,11.3,18.3,55.0
-1.7,0,-4,88,10.41,5.1,19.6,29.4,87.0
-1.7,3.4,-6.1,79,0,6.9,7,14.8,104.0
-1.2,1.3,-4,92,0,4.3,17.6,24.1,130.0
1.4,5,-1.5,78,0,7.9,21.1,35.2,52.0
2.4,4.1,0.7,92,0.25,6.9,19.4,29.4,53.0
7.4,11,3.7,96,6.6,4.8,13.5,24.1,57.0
2.7,6.2,-0.2,92,0,5.3,12,16.5,100.0
4,7,2.5,86,4.06,6.8,13.1,20.6,81.0
1.9,5.1,-1,78,0,4.8,18.9,24.1,72.0
-3,0.6,-5.2,52,0,11.4,26.9,37,67.0
-4.8,-1.6,-8,63,0,11.7,17.4,25.9,66.0
-1.4,2,-5.1,70,0,7.7,28.5,35.2,99.0
3.6,9.4,0.4,70,0,7.6,18.7,27.8,107.0
4.9,10,0,77,1.02,10,15.2,20.6,94.0
6.3,10.3,4,86,2.79,10,18.9,29.4,55.0
5.8,9.2,3.5,89,2.79,10.3,23.5,38.9,50.0
9.6,14,5.4,80,5.08,10.1,13.1,20.6,51.0
9.1,12.6,6.9,77,2.29,10.3,19.6,31.7,38.0
9.2,14,3.7,68,0.25,6.9,20.9,37,52.0
10.2,13.7,8.5,77,3.3,10.6,16.5,27.8,63.0
